Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
137735	ENSG00000174429	ABRA	ABRA	Q8N0Z2
58527	ENSG00000146386	ABRACL	ABRACL	Q9P1F3
29777	ENSG00000146109	ABT1	ABT1	Q9ULW3
80325	ENSG00000114626	ABTB1	ABTB1	Q969K4
25841	ENSG00000166016	ABTB2	ABTB2	Q8N961
30	ENSG00000060971	ACAA1	ACAA1	P09110
10449	ENSG00000167315	ACAA2	ACAA2	P42765
31	ENSG00000278540	ACACA	ACACA	Q13085
32	ENSG00000076555	ACACB	ACACB	O00763
80724	ENSG00000111271	ACAD10	ACAD10	Q6JQN1
27034	ENSG00000151498	ACAD8	ACAD8	Q9UKU7
28976	ENSG00000177646	ACAD9	ACAD9	Q9H845
33	ENSG00000115361	ACADL	ACADL	P28330
34	ENSG00000117054	ACADM	ACADM	P11310
35	ENSG00000122971	ACADS	ACADS	P16219
36	ENSG00000196177	ACADSB	ACADSB	P45954
37	ENSG00000072778	ACADVL	ACADVL	P49748
176	ENSG00000157766	ACAN	ACAN	P16112
9744	ENSG00000072818	ACAP1	ACAP1	Q15027
23527	ENSG00000114331	ACAP2	ACAP2	Q15057
116983	ENSG00000131584	ACAP3	ACAP3	Q96P50
38	ENSG00000075239	ACAT1	ACAT1	P24752
39	ENSG00000120437	ACAT2	ACAT2	Q9BWD1
64746	ENSG00000182827	ACBD3	ACBD3	Q9H3P7
79777	ENSG00000181513	ACBD4	ACBD4	Q8NC06
91452	ENSG00000107897	ACBD5	ACBD5	Q5T8D3
84320	ENSG00000230124	ACBD6	ACBD6	Q9BR61
414149	ENSG00000176244	ACBD7	ACBD7	Q8N6N7
84680	ENSG00000110455	ACCS	ACCS	Q96QU6
390110	ENSG00000205126	ACCSL	ACCSL	Q4AC99
65057	ENSG00000102977	ACD	ACD	Q96AP0
1636	ENSG00000159640	ACE	ACE	P12821
59272	ENSG00000130234	ACE2	ACE2	Q9BYF1
340485	ENSG00000177076	ACER2	ACER2	Q5QJU3
55331	ENSG00000078124	ACER3	ACER3	Q9NUN7
43	ENSG00000087085	ACHE	ACHE	P22303
22985	ENSG00000100813	ACIN1	ACIN1	Q9UKV3
1238	ENSG00000144648	ACKR2	ACKR2	O00590
57007	ENSG00000144476	ACKR3	ACKR3	P25106
51554	ENSG00000129048	ACKR4	ACKR4	Q9NPB9
